timestamp,tx,ty,tz
0.00, 8.97294, -6.85288, -7.29256
0.10, 8.92866, -6.27694, -7.31758
0.20, 8.80039, -5.74067, -7.34700
0.30, 8.58434, -5.18895, -7.29786
0.40, 8.31614, -4.66419, -7.25608
0.50, 7.98470, -4.22450, -7.15811
0.60, 7.59955, -3.81847, -7.06144
0.70, 7.15423, -3.48731, -6.91985
0.80, 6.67098, -3.20173, -6.77117
0.90, 6.16911, -3.01676, -6.61689
1.00, 5.62647, -2.88720, -6.39716
1.10, 5.10964, -2.85890, -6.20781
1.20, 4.56303, -2.91370, -6.01140
1.30, 4.05260, -3.04270, -5.82033
1.40, 3.55032, -3.25910, -5.59076
1.50, 3.09980, -3.55348, -5.42562
1.60, 2.68418, -3.88940, -5.22294
1.70, 2.32702, -4.31913, -5.05822
1.80, 2.02096, -4.78942, -4.90775
1.90, 1.81261, -5.29361, -4.78264
2.00, 1.66034, -5.84460, -4.68593
2.10, 1.59709, -6.41661, -4.58821
2.20, 1.58676, -6.99588, -4.55027
2.30, 1.66927, -7.54092, -4.54342
2.40, 1.81678, -8.09092, -4.51873
2.50, 2.04485, -8.62431, -4.60601
2.60, 2.34050, -9.08952, -4.65251
2.70, 2.70849, -9.53126, -4.76169
2.80, 3.12861, -9.91195, -4.87322
2.90, 3.58506, -10.22422, -5.00957
3.00, 4.07133, -10.45183, -5.18184
3.10, 4.60598, -10.63222, -5.36223
3.20, 5.13662, -10.70800, -5.55406
3.30, 5.66452, -10.71276, -5.75814
3.40, 6.20189, -10.63524, -5.96537
3.50, 6.69209, -10.45062, -6.15426
3.60, 7.17599, -10.19441, -6.36331
3.70, 7.61559, -9.88543, -6.55746
3.80, 8.01018, -9.51935, -6.71439
3.90, 8.34956, -9.05855, -6.88367
4.00, 8.62766, -8.58409, -7.01534
4.10, 8.79584, -8.06578, -7.13514
4.20, 8.90816, -7.50583, -7.23932
4.30, 8.96973, -6.93483, -7.29488
4.40, 8.92366, -6.34555, -7.34197
4.50, 8.81707, -5.80620, -7.34517
4.60, 8.62678, -5.25728, -7.31932
4.70, 8.36039, -4.74454, -7.26720
4.80, 8.02990, -4.27126, -7.17329
4.90, 7.64753, -3.88647, -7.06111
5.00, 7.23347, -3.51059, -6.95515
5.10, 6.74759, -3.26632, -6.79600
5.20, 6.23426, -3.03343, -6.62061
5.30, 5.72457, -2.91111, -6.42980
5.40, 5.17770, -2.87332, -6.21302
5.50, 4.64464, -2.90890, -6.02613
5.60, 4.12538, -3.01596, -5.85611
5.70, 3.62921, -3.22783, -5.63861
5.80, 3.16065, -3.49691, -5.42257
5.90, 2.73454, -3.84808, -5.24209
6.00, 2.39923, -4.25875, -5.09042
6.10, 2.06596, -4.72506, -4.92870
6.20, 1.83005, -5.22955, -4.81167
6.30, 1.67260, -5.75509, -4.70115
6.40, 1.59700, -6.33832, -4.61035
6.50, 1.57467, -6.88307, -4.55595
6.60, 1.64640, -7.44980, -4.53873
6.70, 1.79768, -8.01180, -4.54648
