timestamp,tx,ty,tz
0.00, 4.18914, -1.00557, 5.58077
0.10, 4.29194, -0.37992, 5.55320
0.20, 4.50337, 0.23236, 5.46944
0.30, 4.76331, 0.81807, 5.38597
0.40, 5.09486, 1.35585, 5.21698
0.50, 5.48432, 1.83171, 5.05214
0.60, 5.94258, 2.27057, 4.87730
0.70, 6.45190, 2.60961, 4.64582
0.80, 6.97410, 2.87510, 4.40796
0.90, 7.52584, 3.06589, 4.15310
1.00, 8.15722, 3.19076, 3.89804
1.10, 8.70421, 3.23080, 3.63900
1.20, 9.28338, 3.13275, 3.36075
1.30, 9.86297, 3.01977, 3.08167
1.40, 10.40849, 2.78836, 2.82635
1.50, 10.94047, 2.47890, 2.59638
1.60, 11.38728, 2.10231, 2.36452
1.70, 11.81016, 1.65688, 2.15291
1.80, 12.18032, 1.17596, 1.97024
1.90, 12.49111, 0.60893, 1.83800
2.00, 12.70046, 0.03476, 1.68540
2.10, 12.85299, -0.60688, 1.58519
2.20, 12.92201, -1.25040, 1.53986
2.30, 12.95927, -1.86503, 1.51887
2.40, 12.85296, -2.51078, 1.56479
2.50, 12.71340, -3.13730, 1.59623
2.60, 12.46538, -3.73532, 1.66854
2.70, 12.18048, -4.32238, 1.78046
2.80, 11.84809, -4.81520, 1.93993
2.90, 11.40734, -5.28383, 2.13050
3.00, 10.92108, -5.66206, 2.33756
3.10, 10.40716, -6.00334, 2.55971
3.20, 9.86083, -6.22302, 2.80280
3.30, 9.27934, -6.40200, 3.07284
3.40, 8.70531, -6.45697, 3.32447
3.50, 8.12425, -6.44969, 3.58253
3.60, 7.56954, -6.37206, 3.84410
3.70, 6.99306, -6.18448, 4.11917
3.80, 6.45212, -5.92041, 4.38294
3.90, 5.95951, -5.57789, 4.63116
4.00, 5.49708, -5.18157, 4.82736
4.10, 5.09597, -4.72121, 5.03043
4.20, 4.75869, -4.19021, 5.22847
4.30, 4.50027, -3.62495, 5.35292
4.40, 4.31043, -3.00925, 5.45949
4.50, 4.18022, -2.39897, 5.54290
4.60, 4.12265, -1.74472, 5.57570
4.70, 4.17932, -1.06982, 5.56629
4.80, 4.27178, -0.45705, 5.54508
4.90, 4.46575, 0.14584, 5.48905
5.00, 4.74158, 0.73616, 5.38208
5.10, 5.04676, 1.26088, 5.26230
5.20, 5.42123, 1.77054, 5.08897
5.30, 5.89356, 2.21098, 4.87760
5.40, 6.37152, 2.54697, 4.69054
5.50, 6.88978, 2.84530, 4.44725
5.60, 7.45885, 3.04153, 4.18948
5.70, 8.03248, 3.19808, 3.94326
5.80, 8.62182, 3.22465, 3.67438
5.90, 9.19903, 3.18064, 3.39371
6.00, 9.76513, 3.05003, 3.14960
6.10, 10.33840, 2.83589, 2.85921
6.20, 10.83420, 2.53497, 2.61546
6.30, 11.32541, 2.16089, 2.39251
6.40, 11.75974, 1.73854, 2.15518
6.50, 12.14024, 1.24304, 1.99912
6.60, 12.45911, 0.67991, 1.84338
6.70, 12.66894, 0.10297, 1.71103
6.80, 12.86311, -0.50133, 1.60938
6.90, 12.93783, -1.15293, 1.54961
7.00, 12.96464, -1.80681, 1.53645
7.10, 12.86931, -2.44679, 1.54295
7.20, 12.74950, -3.05357, 1.59209
7.30, 12.52267, -3.64519, 1.65684
7.40, 12.23912, -4.22572, 1.76507
7.50, 11.88268, -4.75984, 1.92022
7.60, 11.48708, -5.19842, 2.09330
7.70, 10.99710, -5.62395, 2.29288
7.80, 10.50586, -5.96695, 2.51625
7.90, 9.95778, -6.20799, 2.78178
8.00, 9.38624, -6.37090, 3.01898
8.10, 8.80941, -6.44788, 3.29584
8.20, 8.22549, -6.46224, 3.55530
8.30, 7.64438, -6.38829, 3.82398
8.40, 7.09262, -6.21508, 4.07096
8.50, 6.53990, -5.97221, 4.33603
8.60, 6.04117, -5.65211, 4.56306
8.70, 5.57222, -5.24933, 4.81289
8.80, 5.17675, -4.78016, 5.01806
8.90, 4.82813, -4.27971, 5.18185
9.00, 4.54389, -3.70235, 5.33432
9.10, 4.33407, -3.11718, 5.42321
9.20, 4.20023, -2.48694, 5.53691
9.30, 4.14248, -1.83972, 5.58178
9.40, 4.15555, -1.21863, 5.57612
9.50, 4.25322, -0.56755, 5.55595
9.60, 4.42363, 0.03435, 5.49904
9.70, 4.66710, 0.66000, 5.39432
9.80, 4.99259, 1.20537, 5.29229
9.90, 5.37021, 1.68294, 5.12552
10.00, 5.81498, 2.13885, 4.92178
10.10, 6.30249, 2.51358, 4.69929
10.20, 6.83448, 2.82568, 4.49261
10.30, 7.36370, 3.03147, 4.23844
10.40, 7.94872, 3.15515, 3.97586
10.50, 8.53211, 3.19324, 3.70920
10.60, 9.12641, 3.18107, 3.44786
10.70, 9.68897, 3.05112, 3.17679
10.80, 10.24208, 2.88718, 2.91758
10.90, 10.76276, 2.59834, 2.65433
11.00, 11.25287, 2.23145, 2.43670
11.10, 11.70790, 1.79826, 2.19639
11.20, 12.07224, 1.32413, 2.04196
11.30, 12.38137, 0.76288, 1.85554
11.40, 12.65073, 0.22244, 1.72069
11.50, 12.80072, -0.40048, 1.62761
11.60, 12.92550, -1.04210, 1.57001
11.70, 12.94172, -1.69913, 1.53506
11.80, 12.89498, -2.31648, 1.52973
11.90, 12.75300, -2.96530, 1.57680
12.00, 12.56092, -3.55334, 1.63820
12.10, 12.29326, -4.14130, 1.76411
12.20, 11.93517, -4.66431, 1.88866
12.30, 11.52976, -5.13692, 2.08881
12.40, 11.08306, -5.55998, 2.26690
12.50, 10.59169, -5.89564, 2.48139
12.60, 10.03454, -6.17911, 2.73252
12.70, 9.49050, -6.35464, 2.96589
12.80, 8.88657, -6.45488, 3.24332
12.90, 8.32325, -6.49117, 3.51295
13.00, 7.71757, -6.40544, 3.76328
