timestamp,tx,ty,tz
0.00, -6.44777, 6.30340, 0.28458
0.10, -6.67033, 6.70746, 0.39222
0.20, -6.86819, 7.11277, 0.45391
0.30, -7.00658, 7.57479, 0.45310
0.40, -7.15678, 8.00391, 0.41807
0.50, -7.25249, 8.46930, 0.29438
0.60, -7.30615, 8.89409, 0.13391
0.70, -7.35345, 9.30219, -0.03713
0.80, -7.36288, 9.72792, -0.29151
0.90, -7.30096, 10.07259, -0.59029
1.00, -7.23648, 10.41069, -0.88920
1.10, -7.12509, 10.70335, -1.24533
1.20, -6.98830, 10.93000, -1.60475
1.30, -6.81397, 11.11296, -2.01663
1.40, -6.62731, 11.24476, -2.43166
1.50, -6.38417, 11.32928, -2.82876
1.60, -6.18255, 11.33312, -3.21578
1.70, -5.93493, 11.30031, -3.63044
1.80, -5.67235, 11.18403, -3.99409
1.90, -5.37619, 11.02852, -4.32522
2.00, -5.12922, 10.81055, -4.66984
2.10, -4.84191, 10.54632, -4.93728
2.20, -4.59909, 10.22631, -5.15945
2.30, -4.34421, 9.89632, -5.37849
2.40, -4.10668, 9.50317, -5.50101
2.50, -3.92890, 9.09777, -5.58593
2.60, -3.74478, 8.66143, -5.64050
2.70, -3.59090, 8.24140, -5.63254
2.80, -3.46281, 7.77818, -5.54996
2.90, -3.39968, 7.34465, -5.44212
3.00, -3.33577, 6.92054, -5.25887
3.10, -3.31557, 6.48584, -5.02659
3.20, -3.33173, 6.11930, -4.77235
3.30, -3.38849, 5.75360, -4.47540
3.40, -3.49364, 5.44495, -4.14830
3.50, -3.60277, 5.15714, -3.76944
3.60, -3.76192, 4.96080, -3.40436
3.70, -3.92392, 4.80979, -2.99133
3.80, -4.12836, 4.68386, -2.57020
3.90, -4.33962, 4.64061, -2.16444
4.00, -4.60236, 4.64673, -1.79013
4.10, -4.87579, 4.72738, -1.42323
4.20, -5.12202, 4.85450, -1.03970
4.30, -5.40824, 5.03691, -0.70825
4.40, -5.67222, 5.24992, -0.39662
4.50, -5.92391, 5.54433, -0.14815
4.60, -6.17782, 5.86355, 0.07899
4.70, -6.40588, 6.21874, 0.26103
4.80, -6.62240, 6.62380, 0.38891
4.90, -6.83883, 7.05368, 0.45044
5.00, -6.97084, 7.48637, 0.45893
5.10, -7.13047, 7.93629, 0.41851
5.20, -7.23419, 8.36802, 0.33336
5.30, -7.31862, 8.80451, 0.20429
5.40, -7.35454, 9.23332, 0.00816
5.50, -7.36214, 9.63327, -0.24082
5.60, -7.31772, 10.01751, -0.53389
5.70, -7.24944, 10.34168, -0.84103
5.80, -7.14321, 10.64709, -1.20266
5.90, -7.01666, 10.89345, -1.55074
6.00, -6.85703, 11.09328, -1.94794
6.10, -6.66434, 11.22513, -2.35958
6.20, -6.44809, 11.30480, -2.75700
6.30, -6.20419, 11.33058, -3.15036
6.40, -5.97930, 11.30288, -3.54340
6.50, -5.71587, 11.20400, -3.93750
6.60, -5.41403, 11.04787, -4.27837
6.70, -5.16371, 10.84075, -4.59584
6.80, -4.90716, 10.59304, -4.89459
6.90, -4.63303, 10.28762, -5.13688
7.00, -4.40061, 9.95674, -5.34975
7.10, -4.16527, 9.57472, -5.47959
7.20, -3.96665, 9.17710, -5.59758
7.30, -3.77370, 8.76784, -5.63673
7.40, -3.61310, 8.30760, -5.63076
7.50, -3.50022, 7.84951, -5.56473
7.60, -3.40154, 7.41462, -5.45750
7.70, -3.34872, 7.00097, -5.29970
7.80, -3.31463, 6.57516, -5.06679
7.90, -3.32861, 6.18426, -4.82451
8.00, -3.35954, 5.80402, -4.53383
8.10, -3.46968, 5.51094, -4.19308
8.20, -3.57435, 5.21273, -3.84029
8.30, -3.71050, 5.00311, -3.47384
8.40, -3.90608, 4.84472, -3.06595
8.50, -4.08259, 4.68923, -2.66905
8.60, -4.31559, 4.64446, -2.25286
8.70, -4.56290, 4.65223, -1.84991
8.80, -4.82359, 4.71170, -1.48384
8.90, -5.08464, 4.81702, -1.11096
9.00, -5.33436, 4.99079, -0.76175
9.10, -5.62577, 5.21988, -0.45976
9.20, -5.88493, 5.47208, -0.20685
9.30, -6.13952, 5.80331, 0.03857
9.40, -6.38406, 6.16824, 0.22254
9.50, -6.57785, 6.56047, 0.36374
9.60, -6.79436, 6.95144, 0.43833
9.70, -6.97938, 7.41577, 0.46170
9.80, -7.10483, 7.85473, 0.44739
9.90, -7.20003, 8.28842, 0.36082
10.00, -7.31071, 8.72256, 0.22075
10.10, -7.36019, 9.15591, 0.03949
10.20, -7.35053, 9.55847, -0.19437
10.30, -7.33735, 9.94580, -0.47302
10.40, -7.26095, 10.27748, -0.79393
10.50, -7.15646, 10.58919, -1.11544
10.60, -7.03611, 10.84911, -1.48162
10.70, -6.88034, 11.05233, -1.86458
10.80, -6.69849, 11.20892, -2.27716
10.90, -6.48587, 11.30632, -2.67382
11.00, -6.25794, 11.33537, -3.05970
11.10, -6.00753, 11.30089, -3.47859
11.20, -5.74159, 11.23300, -3.85286
11.30, -5.48476, 11.08419, -4.21349
11.40, -5.21797, 10.90792, -4.55373
11.50, -4.97205, 10.65461, -4.83872
11.60, -4.69133, 10.34288, -5.08864
11.70, -4.44508, 10.01329, -5.30343
11.80, -4.20782, 9.65639, -5.44780
11.90, -3.98786, 9.25882, -5.57863
12.00, -3.83060, 8.83809, -5.63106
12.10, -3.64020, 8.38978, -5.64870
12.20, -3.50699, 7.91524, -5.59437
12.30, -3.41276, 7.50299, -5.49525
12.40, -3.36155, 7.05881, -5.34419
12.50, -3.32811, 6.63750, -5.13425
12.60, -3.32467, 6.24489, -4.86613
12.70, -3.38014, 5.87864, -4.58977
12.80, -3.44203, 5.55737, -4.28662
12.90, -3.55525, 5.26290, -3.92110
13.00, -3.70002, 5.03231, -3.55389
13.10, -3.85935, 4.83634, -3.13753
13.20, -4.07401, 4.70711, -2.74130
13.30, -4.28776, 4.66000, -2.34810
13.40, -4.51093, 4.64337, -1.93525
13.50, -4.75924, 4.69937, -1.55019
13.60, -5.04333, 4.78818, -1.17138
13.70, -5.29453, 4.95390, -0.83688
13.80, -5.57959, 5.18764, -0.51732
13.90, -5.83556, 5.44030, -0.21952
14.00, -6.07873, 5.75805, -0.00831
14.10, -6.32435, 6.12176, 0.19545
14.20, -6.55596, 6.48440, 0.34602
14.30, -6.75620, 6.88553, 0.42718
14.40, -6.94736, 7.30737, 0.46509
14.50, -7.07802, 7.77484, 0.43759
14.60, -7.21190, 8.21811, 0.37134
14.70, -7.29319, 8.64089, 0.23973
14.80, -7.34003, 9.08560, 0.07298
14.90, -7.36427, 9.47762, -0.16981
15.00, -7.34255, 9.85111, -0.40672
15.10, -7.29194, 10.21821, -0.72431
15.20, -7.19852, 10.52397, -1.03839
15.30, -7.07719, 10.80409, -1.43367
15.40, -6.91756, 10.99862, -1.83219
15.50, -6.73656, 11.16443, -2.20681
15.60, -6.52144, 11.27941, -2.61030
15.70, -6.29961, 11.31932, -3.01114
15.80, -6.05176, 11.33472, -3.40772
15.90, -5.81050, 11.25560, -3.78565
16.00, -5.52830, 11.11227, -4.15065
16.10, -5.26927, 10.94788, -4.49419
16.20, -4.99836, 10.70651, -4.76728
16.30, -4.73556, 10.41172, -5.03601
16.40, -4.48093, 10.10633, -5.26385
16.50, -4.24744, 9.70893, -5.43010
