timestamp,tx,ty,tz
0.00, 1.50105, -10.80688, 4.41561
0.10, 1.56139, -10.56680, 4.53770
0.20, 1.61662, -10.36170, 4.70747
0.30, 1.63896, -10.16570, 4.92257
0.40, 1.65149, -10.03100, 5.15605
0.50, 1.62359, -9.92434, 5.39940
0.60, 1.59313, -9.83749, 5.66383
0.70, 1.52758, -9.80702, 5.94026
0.80, 1.44710, -9.83771, 6.20413
0.90, 1.37246, -9.92783, 6.46846
1.00, 1.26535, -10.01946, 6.71595
1.10, 1.13725, -10.16224, 6.88423
1.20, 1.03385, -10.35682, 7.05954
1.30, 0.88744, -10.57020, 7.18798
1.40, 0.75927, -10.79692, 7.28070
1.50, 0.64302, -11.04420, 7.31367
1.60, 0.54323, -11.29908, 7.29030
1.70, 0.44589, -11.54459, 7.23889
1.80, 0.35420, -11.82237, 7.11817
1.90, 0.27219, -12.03929, 6.96486
2.00, 0.26247, -12.22876, 6.77696
2.10, 0.25100, -12.39317, 6.56797
2.20, 0.26443, -12.53882, 6.30864
2.30, 0.29864, -12.62141, 6.06479
2.40, 0.31449, -12.64151, 5.75612
2.50, 0.38728, -12.67024, 5.51724
2.60, 0.48251, -12.63017, 5.27694
2.70, 0.58667, -12.55535, 5.02784
2.80, 0.67202, -12.41135, 4.80356
2.90, 0.82967, -12.24294, 4.62265
3.00, 0.93496, -12.04938, 4.47517
3.10, 1.07267, -11.81597, 4.36884
3.20, 1.18341, -11.57986, 4.29114
3.30, 1.27750, -11.32161, 4.28111
3.40, 1.40444, -11.06115, 4.33918
3.50, 1.49444, -10.81586, 4.39986
3.60, 1.57646, -10.58686, 4.53216
3.70, 1.61744, -10.38916, 4.68334
3.80, 1.64837, -10.17696, 4.91205
3.90, 1.65566, -10.02743, 5.11988
4.00, 1.63046, -9.91506, 5.38466
4.10, 1.59455, -9.85915, 5.65477
4.20, 1.53337, -9.82510, 5.92999
4.30, 1.45038, -9.83354, 6.19826
4.40, 1.37513, -9.91020, 6.44855
4.50, 1.27314, -10.00612, 6.67340
4.60, 1.17492, -10.13905, 6.87270
4.70, 1.01094, -10.33644, 7.05402
4.80, 0.89578, -10.55789, 7.18955
4.90, 0.76823, -10.78177, 7.27440
5.00, 0.65406, -11.02920, 7.30577
5.10, 0.54280, -11.28367, 7.29627
5.20, 0.42230, -11.55062, 7.23394
5.30, 0.35684, -11.77658, 7.11920
5.40, 0.30146, -12.02196, 6.99655
