timestamp,tx,ty,tz
0.00, 3.87293, 0.92768, -3.16814
0.10, 4.12267, 0.62265, -3.35469
0.20, 4.28484, 0.28527, -3.56787
0.30, 4.40849, -0.05586, -3.75989
0.40, 4.49806, -0.43404, -3.96402
0.50, 4.50272, -0.79352, -4.12982
0.60, 4.45427, -1.17888, -4.33888
0.70, 4.36730, -1.55029, -4.49802
0.80, 4.23117, -1.91780, -4.68600
0.90, 4.01916, -2.26530, -4.80491
1.00, 3.75288, -2.57360, -4.90408
1.10, 3.47952, -2.88423, -5.01235
1.20, 3.16134, -3.12664, -5.08043
1.30, 2.77595, -3.35198, -5.14383
1.40, 2.43212, -3.51921, -5.13608
1.50, 1.98902, -3.62446, -5.11540
1.60, 1.58734, -3.70602, -5.07582
1.70, 1.17987, -3.74266, -5.01459
1.80, 0.75375, -3.68886, -4.92043
1.90, 0.34163, -3.62871, -4.82586
2.00, -0.01307, -3.49314, -4.68002
2.10, -0.39707, -3.32041, -4.52452
2.20, -0.69046, -3.08901, -4.37114
2.30, -0.97682, -2.84926, -4.17261
2.40, -1.18857, -2.53313, -4.01221
2.50, -1.40268, -2.22170, -3.79110
2.60, -1.49961, -1.87235, -3.60106
2.70, -1.60029, -1.50651, -3.39956
2.80, -1.63246, -1.14138, -3.19377
2.90, -1.59613, -0.73830, -3.01947
3.00, -1.52396, -0.37016, -2.84860
3.10, -1.36594, 0.01298, -2.70984
3.20, -1.15303, 0.34162, -2.55698
3.30, -0.90896, 0.65927, -2.44421
3.40, -0.61344, 0.94963, -2.34127
3.50, -0.29837, 1.21400, -2.25891
3.60, 0.06246, 1.43602, -2.22879
3.70, 0.43824, 1.61102, -2.21287
3.80, 0.85801, 1.73914, -2.21586
3.90, 1.24163, 1.81929, -2.23204
4.00, 1.68672, 1.83375, -2.31018
4.10, 2.09083, 1.80198, -2.39129
4.20, 2.48748, 1.72428, -2.49484
4.30, 2.85836, 1.62259, -2.66296
4.40, 3.21597, 1.42569, -2.78513
4.50, 3.55357, 1.23954, -2.97467
4.60, 3.82684, 0.96907, -3.13514
4.70, 4.08057, 0.66038, -3.34406
4.80, 4.26228, 0.36227, -3.51471
4.90, 4.38406, -0.00094, -3.71757
5.00, 4.50550, -0.35755, -3.92502
5.10, 4.50469, -0.73985, -4.12186
5.20, 4.48103, -1.10937, -4.29022
5.30, 4.38323, -1.48403, -4.46463
5.40, 4.24975, -1.86626, -4.64600
5.50, 4.06584, -2.19421, -4.77244
5.60, 3.81726, -2.54444, -4.90106
5.70, 3.53476, -2.82500, -4.98661
5.80, 3.19335, -3.09029, -5.06634
5.90, 2.85736, -3.31344, -5.10625
6.00, 2.48077, -3.48161, -5.12313
6.10, 2.06782, -3.62660, -5.13312
6.20, 1.63895, -3.70014, -5.08940
6.30, 1.25119, -3.73565, -5.01418
6.40, 0.82001, -3.72621, -4.96055
6.50, 0.41899, -3.65244, -4.84747
6.60, 0.03186, -3.50499, -4.71416
6.70, -0.31706, -3.36637, -4.57597
6.80, -0.63926, -3.14326, -4.39741
6.90, -0.93990, -2.89455, -4.22171
7.00, -1.18254, -2.58630, -4.02468
7.10, -1.37691, -2.25976, -3.81911
7.20, -1.50841, -1.93300, -3.62714
7.30, -1.58864, -1.56299, -3.44111
7.40, -1.63055, -1.17923, -3.21272
7.50, -1.59608, -0.83507, -3.05302
7.60, -1.52804, -0.42201, -2.89861
7.70, -1.39453, -0.08098, -2.70939
7.80, -1.19959, 0.28315, -2.57804
7.90, -0.97089, 0.61204, -2.43162
8.00, -0.68654, 0.91087, -2.34403
8.10, -0.34447, 1.17987, -2.27829
8.20, -0.00233, 1.38813, -2.23717
8.30, 0.38160, 1.58286, -2.20423
8.40, 0.77807, 1.71259, -2.20247
8.50, 1.18458, 1.79305, -2.23114
8.60, 1.59793, 1.81564, -2.27676
8.70, 1.99664, 1.80421, -2.38259
8.80, 2.42224, 1.73671, -2.49188
8.90, 2.79027, 1.62267, -2.61776
9.00, 3.14906, 1.45659, -2.76553
9.10, 3.48878, 1.24387, -2.92968
9.20, 3.78664, 1.00487, -3.10684
9.30, 4.02406, 0.72950, -3.31597
9.40, 4.22757, 0.39281, -3.47577
9.50, 4.37885, 0.07582, -3.67812
9.60, 4.46196, -0.30707, -3.88159
9.70, 4.51150, -0.68468, -4.09695
9.80, 4.48709, -1.03483, -4.26569
9.90, 4.41508, -1.40970, -4.43606
10.00, 4.29331, -1.80732, -4.59308
10.10, 4.08883, -2.15824, -4.76254
10.20, 3.85789, -2.47128, -4.87451
10.30, 3.56967, -2.78963, -4.96945
10.40, 3.24271, -3.05524, -5.04681
10.50, 2.92180, -3.26018, -5.10335
10.60, 2.51441, -3.45261, -5.13323
10.70, 2.13823, -3.58036, -5.11886
