timestamp,tx,ty,tz
0.00, 2.29272, 1.50948, -10.16420
0.10, 2.68440, 1.78421, -9.91982
0.20, 3.04738, 2.03383, -9.60237
0.30, 3.42797, 2.13925, -9.23643
0.40, 3.77264, 2.16476, -8.84123
0.50, 4.10336, 2.10444, -8.40667
0.60, 4.40154, 1.95286, -7.96320
0.70, 4.60689, 1.68179, -7.56140
0.80, 4.76853, 1.38245, -7.15654
0.90, 4.83366, 0.98091, -6.79062
1.00, 4.85604, 0.52244, -6.49900
1.10, 4.79020, 0.03653, -6.24302
1.20, 4.66467, -0.45837, -6.09832
1.30, 4.46288, -0.95245, -6.02500
1.40, 4.19813, -1.40823, -6.02392
1.50, 3.88672, -1.85163, -6.09181
1.60, 3.53694, -2.22273, -6.26214
1.70, 3.15460, -2.53449, -6.48876
1.80, 2.78592, -2.75396, -6.81453
1.90, 2.39968, -2.87715, -7.17222
2.00, 2.03138, -2.92579, -7.59274
2.10, 1.68802, -2.86945, -8.00196
2.20, 1.41685, -2.71865, -8.42401
2.30, 1.19525, -2.46406, -8.86459
2.40, 1.03766, -2.14156, -9.25114
2.50, 0.93957, -1.73997, -9.63044
2.60, 0.92864, -1.29348, -9.91915
2.70, 0.99279, -0.81842, -10.17984
2.80, 1.12636, -0.31388, -10.34927
2.90, 1.33451, 0.16237, -10.43565
3.00, 1.57045, 0.63658, -10.44426
3.10, 1.90708, 1.08342, -10.35717
3.20, 2.26353, 1.47044, -10.20254
3.30, 2.60586, 1.76595, -9.96414
3.40, 2.99371, 2.00014, -9.65290
3.50, 3.39549, 2.12496, -9.28295
3.60, 3.75244, 2.14980, -8.87316
3.70, 4.07834, 2.14804, -8.46717
3.80, 4.34117, 1.97037, -8.01883
3.90, 4.59265, 1.73198, -7.60428
4.00, 4.75214, 1.39169, -7.19863
4.10, 4.83567, 0.98992, -6.84723
4.20, 4.85707, 0.58319, -6.52183
4.30, 4.80102, 0.10329, -6.27535
4.40, 4.68809, -0.39507, -6.09713
4.50, 4.48955, -0.89439, -6.01707
4.60, 4.22806, -1.37029, -6.00911
4.70, 3.92402, -1.79471, -6.06106
4.80, 3.58274, -2.19745, -6.25464
4.90, 3.19665, -2.50135, -6.46605
5.00, 2.82889, -2.73652, -6.80308
5.10, 2.43754, -2.85783, -7.14401
5.20, 2.07682, -2.92268, -7.52508
5.30, 1.75014, -2.89646, -7.95033
5.40, 1.46556, -2.72144, -8.39568
5.50, 1.23185, -2.49108, -8.81041
5.60, 1.06222, -2.17250, -9.23605
5.70, 0.95307, -1.78828, -9.60156
5.80, 0.93500, -1.33615, -9.90277
5.90, 1.00913, -0.87666, -10.16625
6.00, 1.12012, -0.37916, -10.32653
6.10, 1.28952, 0.14172, -10.44023
6.20, 1.55817, 0.59239, -10.44818
6.30, 1.86278, 1.03631, -10.37100
6.40, 2.21189, 1.42689, -10.22260
6.50, 2.58985, 1.73401, -9.95918
6.60, 2.97899, 1.95044, -9.67295
6.70, 3.34600, 2.12854, -9.33751
6.80, 3.70513, 2.15224, -8.93358
6.90, 4.05084, 2.12928, -8.50407
7.00, 4.33523, 1.98710, -8.10134
7.10, 4.57893, 1.75830, -7.63990
7.20, 4.73078, 1.44924, -7.23924
7.30, 4.83123, 1.06459, -6.87875
7.40, 4.86495, 0.62031, -6.54823
7.50, 4.82095, 0.15690, -6.30908
7.60, 4.69841, -0.34448, -6.12475
7.70, 4.50082, -0.85097, -6.01250
7.80, 4.26422, -1.32729, -5.98748
7.90, 3.96818, -1.75571, -6.05381
8.00, 3.61975, -2.13742, -6.21635
8.10, 3.24725, -2.47180, -6.45377
8.20, 2.86287, -2.70582, -6.73836
8.30, 2.48990, -2.87253, -7.09195
8.40, 2.10850, -2.93886, -7.48369
8.50, 1.79233, -2.87881, -7.91893
8.60, 1.46878, -2.75017, -8.35512
8.70, 1.25916, -2.52553, -8.78998
8.80, 1.07732, -2.21954, -9.19517
