timestamp,tx,ty,tz
0.00, 10.51236, 6.05976, 0.51830
0.10, 10.38566, 5.66235, 0.84477
0.20, 10.19629, 5.22261, 1.15789
0.30, 9.94728, 4.86055, 1.44339
0.40, 9.59183, 4.52201, 1.70666
0.50, 9.18594, 4.24926, 1.95621
0.60, 8.70222, 4.00116, 2.13225
0.70, 8.18826, 3.82649, 2.29192
0.80, 7.67638, 3.76326, 2.38444
0.90, 7.13267, 3.71129, 2.43113
1.00, 6.57905, 3.74504, 2.42327
1.10, 6.06537, 3.87377, 2.37282
1.20, 5.55008, 4.04681, 2.24850
1.30, 5.05890, 4.29990, 2.09575
1.40, 4.66575, 4.58293, 1.90285
1.50, 4.29991, 4.91640, 1.67128
1.60, 4.04681, 5.31837, 1.40755
1.70, 3.84861, 5.72262, 1.08234
1.80, 3.68496, 6.14968, 0.77053
1.90, 3.67286, 6.59236, 0.45327
2.00, 3.73436, 7.03833, 0.11438
2.10, 3.88184, 7.46053, -0.19924
2.20, 4.09020, 7.85167, -0.52285
2.30, 4.40816, 8.23277, -0.79658
2.40, 4.76441, 8.53674, -1.03547
2.50, 5.20568, 8.77090, -1.25598
2.60, 5.67807, 8.97689, -1.43780
2.70, 6.18285, 9.12318, -1.56410
2.80, 6.73920, 9.19282, -1.62873
2.90, 7.28759, 9.19582, -1.65771
3.00, 7.81919, 9.12790, -1.64137
3.10, 8.33366, 8.98586, -1.53706
3.20, 8.84288, 8.78802, -1.40189
3.30, 9.29855, 8.49531, -1.24056
3.40, 9.69590, 8.18916, -1.02359
3.50, 9.99807, 7.82209, -0.75294
3.60, 10.24220, 7.42430, -0.46822
3.70, 10.41471, 7.00300, -0.17739
3.80, 10.51110, 6.56156, 0.14620
3.90, 10.51960, 6.15086, 0.46230
4.00, 10.40882, 5.69743, 0.78880
4.10, 10.23040, 5.28468, 1.12011
4.20, 9.96814, 4.88477, 1.41991
4.30, 9.63557, 4.56551, 1.67681
4.40, 9.24229, 4.27428, 1.91000
4.50, 8.77565, 4.05639, 2.11851
4.60, 8.28490, 3.85767, 2.27272
4.70, 7.78388, 3.74658, 2.35396
4.80, 7.21711, 3.71597, 2.43085
4.90, 6.67524, 3.75850, 2.42355
5.00, 6.13127, 3.82703, 2.37039
5.10, 5.62531, 4.00858, 2.28524
5.20, 5.12404, 4.22999, 2.13136
5.30, 4.70948, 4.54445, 1.92873
5.40, 4.35673, 4.86109, 1.71164
5.50, 4.05731, 5.27431, 1.45422
5.60, 3.84421, 5.66311, 1.12548
5.70, 3.71237, 6.08787, 0.82248
5.80, 3.65147, 6.53154, 0.50466
5.90, 3.70610, 6.98393, 0.19697
6.00, 3.84716, 7.39709, -0.15699
6.10, 4.06073, 7.79210, -0.45563
6.20, 4.33492, 8.13961, -0.74410
6.30, 4.71340, 8.47567, -1.00202
6.40, 5.13368, 8.75383, -1.23222
6.50, 5.62800, 8.97037, -1.40407
6.60, 6.11419, 9.12625, -1.53708
6.70, 6.65107, 9.20293, -1.61794
6.80, 7.20421, 9.18328, -1.65622
6.90, 7.76970, 9.14083, -1.63756
7.00, 8.26793, 8.99213, -1.55422
7.10, 8.77413, 8.82145, -1.42311
7.20, 9.20841, 8.55821, -1.26038
7.30, 9.64607, 8.22649, -1.05700
7.40, 9.96002, 7.89189, -0.80143
7.50, 10.21651, 7.48329, -0.52963
7.60, 10.39045, 7.07440, -0.23250
7.70, 10.51124, 6.63361, 0.08727
7.80, 10.48171, 6.18926, 0.42857
7.90, 10.41958, 5.76146, 0.75648
8.00, 10.26964, 5.33110, 1.08472
8.10, 9.99722, 4.95940, 1.36566
8.20, 9.70888, 4.61593, 1.63043
8.30, 9.30000, 4.33453, 1.88448
8.40, 8.86818, 4.06696, 2.09123
8.50, 8.37222, 3.87019, 2.25037
8.60, 7.86920, 3.75401, 2.36837
8.70, 7.30426, 3.70723, 2.41348
8.80, 6.75042, 3.72464, 2.43221
8.90, 6.19813, 3.84835, 2.38409
9.00, 5.70304, 3.98502, 2.28842
9.10, 5.22910, 4.19818, 2.16522
9.20, 4.76033, 4.48069, 1.97282
9.30, 4.39509, 4.81952, 1.72884
9.40, 4.09525, 5.20386, 1.47225
9.50, 3.87508, 5.60849, 1.18580
9.60, 3.72822, 6.01224, 0.87255
9.70, 3.65613, 6.45378, 0.55077
9.80, 3.69579, 6.90447, 0.20546
9.90, 3.81694, 7.31530, -0.11474
10.00, 4.01807, 7.73518, -0.42223
10.10, 4.31791, 8.09775, -0.71851
10.20, 4.65455, 8.44747, -0.98000
10.30, 5.06748, 8.72365, -1.20259
10.40, 5.54557, 8.92813, -1.37395
10.50, 6.05594, 9.10080, -1.52599
10.60, 6.57162, 9.17479, -1.60955
10.70, 7.11345, 9.18957, -1.65483
10.80, 7.69396, 9.16146, -1.63948
10.90, 8.20197, 9.03120, -1.57582
11.00, 8.71054, 8.83378, -1.46648
11.10, 9.15573, 8.60505, -1.30667
11.20, 9.56649, 8.28454, -1.08378
11.30, 9.93548, 7.94729, -0.83947
11.40, 10.18433, 7.52295, -0.57945
11.50, 10.37264, 7.12198, -0.25212
11.60, 10.48647, 6.69861, 0.05673
11.70, 10.53150, 6.26111, 0.37098
11.80, 10.44288, 5.82541, 0.69657
11.90, 10.29599, 5.42419, 1.03333
12.00, 10.05163, 4.99080, 1.32712
12.10, 9.75378, 4.65864, 1.59437
12.20, 9.34579, 4.35527, 1.83697
12.30, 8.92265, 4.09955, 2.07344
12.40, 8.42306, 3.90678, 2.21808
12.50, 7.91211, 3.78472, 2.34998
12.60, 7.38264, 3.72553, 2.42689
12.70, 6.82898, 3.73051, 2.43923
12.80, 6.28177, 3.79360, 2.40728
12.90, 5.74193, 3.93976, 2.28995
13.00, 5.26549, 4.16400, 2.17871
13.10, 4.83868, 4.45112, 1.99513
13.20, 4.44503, 4.78630, 1.76767
13.30, 4.12941, 5.14156, 1.48229
